INFO:data:Reading dataset fish: cross-species
INFO:data:Class Counts: [45 60 48], Class Ratios: [0.29411765 0.39215686 0.31372549]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 153
INFO:data:Number of classes 3.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max    	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.364147	0  	0.56796	0.204845	1023  	0.0478314	3.94428	0  	7  	2  	1023  	1.42448
INFO:gp:1  	777   	0.412736	1  	0.572693	0.278403	777   	0.0429282	4.17107	1  	12 	2  	777   	1.54029
INFO:gp:2  	766   	0.438674	2  	0.577   	0.254828	766   	0.0461129	4.39492	2  	11 	2  	766   	1.62893
INFO:gp:3  	797   	0.455479	3  	0.627287	0.261502	797   	0.0546709	4.56891	3  	11 	2  	797   	1.6523 
INFO:gp:4  	803   	0.468307	4  	0.627287	0.248116	803   	0.0653753	4.87488	4  	12 	2  	803   	1.63598
INFO:gp:5  	789   	0.487557	5  	0.634169	0.261398	789   	0.0718491	4.89247	5  	12 	2  	789   	1.68374
INFO:gp:6  	776   	0.509608	6  	0.634169	0.272776	776   	0.0752289	4.99707	6  	12 	2  	776   	1.77387
INFO:gp:7  	783   	0.516788	7  	0.660671	0.262277	783   	0.0820112	5.0694 	7  	14 	2  	783   	2.01317
INFO:gp:8  	750   	0.521851	8  	0.67203 	0.272913	750   	0.0892551	5.15445	8  	18 	2  	750   	2.1916 
INFO:gp:9  	793   	0.531777	9  	0.673021	0.254693	793   	0.0895082	4.85142	9  	13 	3  	793   	2.05578
INFO:gp:10 	758   	0.544453	10 	0.69425 	0.303557	758   	0.0931517	4.78299	10 	15 	3  	758   	1.93739
INFO:gp:11 	767   	0.563439	11 	0.69425 	0.288545	767   	0.0962174	4.80645	11 	15 	2  	767   	2.01647
INFO:gp:12 	757   	0.590177	12 	0.69425 	0.299071	757   	0.0998529	5.30108	12 	17 	3  	757   	2.53601
INFO:gp:13 	775   	0.597638	13 	0.7064  	0.302344	775   	0.105053 	6.06452	13 	17 	3  	775   	2.74739
INFO:gp:14 	765   	0.607464	14 	0.7064  	0.282732	765   	0.104048 	8.02933	14 	17 	3  	765   	2.50574
INFO:gp:15 	752   	0.606986	15 	0.7064  	0.280589	752   	0.109542 	8.67253	15 	23 	3  	752   	2.12863
INFO:gp:16 	779   	0.614379	16 	0.7064  	0.273574	779   	0.108772 	9.52395	16 	20 	3  	779   	2.57387
INFO:gp:17 	774   	0.619285	17 	0.706402	0.336441	774   	0.106147 	11.1026	17 	24 	4  	774   	2.67902
INFO:gp:18 	750   	0.628518	18 	0.706402	0.31271 	750   	0.106181 	11.7977	18 	24 	3  	750   	2.53945
INFO:gp:19 	779   	0.623912	19 	0.706441	0.320788	779   	0.107697 	12.479 	19 	25 	3  	779   	3.19936
INFO:gp:20 	773   	0.627641	20 	0.706441	0.223324	773   	0.104876 	13.4379	20 	29 	4  	773   	3.68052
INFO:gp:21 	788   	0.624367	21 	0.706441	0.29966 	788   	0.110103 	14.5562	21 	35 	4  	788   	4.05009
INFO:gp:22 	774   	0.629056	22 	0.710918	0.295915	774   	0.108471 	16.085 	22 	43 	3  	774   	4.58967
INFO:gp:23 	780   	0.626377	23 	0.710918	0.305501	780   	0.108467 	17.7957	23 	42 	3  	780   	5.54166
INFO:gp:24 	776   	0.630563	24 	0.710948	0.268339	776   	0.106077 	17.5269	24 	41 	3  	776   	5.75714
INFO:gp:25 	769   	0.628599	25 	0.7116  	0.211075	769   	0.106611 	15.9756	25 	41 	3  	769   	4.94134
INFO:gp:26 	763   	0.626239	26 	0.712207	0.304427	763   	0.109643 	16.8495	26 	39 	3  	763   	5.22203
INFO:gp:27 	765   	0.630582	27 	0.712207	0.304804	765   	0.108666 	18.3939	27 	39 	3  	765   	5.11302
INFO:gp:28 	729   	0.637036	28 	0.726358	0.261373	729   	0.105718 	18.7009	28 	42 	3  	729   	5.20005
INFO:gp:29 	782   	0.624277	29 	0.74351 	0.284099	782   	0.110265 	20.3587	29 	47 	3  	782   	5.44549
INFO:gp:30 	778   	0.632313	30 	0.74351 	0.306606	778   	0.107271 	21.6999	30 	37 	3  	778   	5.4732 
INFO:gp:31 	775   	0.649134	31 	0.74351 	0.325281	775   	0.101346 	21.999 	31 	43 	3  	775   	5.29547
INFO:gp:32 	776   	0.66455 	32 	0.752583	0.357088	776   	0.10039  	19.564 	32 	37 	3  	776   	5.51223
INFO:gp:33 	749   	0.680467	33 	0.756827	0.344947	749   	0.0985916	16.3148	33 	34 	3  	749   	3.60442
INFO:gp:34 	744   	0.674975	34 	0.757023	0.337805	744   	0.102519 	15.5679	34 	34 	3  	744   	3.43392
INFO:gp:35 	774   	0.684288	35 	0.757373	0.333632	774   	0.0999227	15.1408	35 	34 	3  	774   	2.94454
INFO:gp:36 	780   	0.678855	36 	0.757373	0.329369	780   	0.105046 	15.3763	36 	34 	3  	780   	3.00929
INFO:gp:37 	752   	0.687211	37 	0.757373	0.33846 	752   	0.102563 	15.5689	37 	29 	3  	752   	3.14101
INFO:gp:38 	796   	0.694326	38 	0.757373	0.347293	796   	0.0987759	16.0929	38 	37 	3  	796   	3.7742 
INFO:gp:39 	761   	0.692459	39 	0.758407	0.290298	761   	0.105623 	17.7947	39 	37 	3  	761   	4.49012
INFO:gp:40 	765   	0.698988	40 	0.758407	0.327512	765   	0.0996371	19.52  	40 	43 	3  	765   	4.42636
INFO:gp:41 	756   	0.6987  	41 	0.760662	0.347289	756   	0.102443 	19.0469	41 	39 	3  	756   	4.28913
