INFO:data:Reading dataset fish: instance-recognition
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.500384	0  	0.640673	0.393133	1023  	0.0307458	3.50733	0  	7  	2  	1023  	1.35552
INFO:gp:1  	756   	0.520145	1  	0.640673	0.404127	756   	0.0359846	3.64614	1  	9  	2  	756   	1.46043
INFO:gp:2  	795   	0.533112	2  	0.640673	0.399779	795   	0.0398178	3.94037	2  	12 	2  	795   	1.62018
INFO:gp:3  	764   	0.545205	3  	0.656717	0.40017 	764   	0.043623 	4.11339	3  	11 	2  	764   	1.63862
INFO:gp:4  	747   	0.554744	4  	0.658237	0.39446 	747   	0.0473964	4.30694	4  	11 	2  	747   	1.72601
INFO:gp:5  	786   	0.559977	5  	0.667695	0.373967	786   	0.0507543	4.31281	5  	10 	2  	786   	1.71016
INFO:gp:6  	762   	0.568645	6  	0.674198	0.403983	762   	0.0541931	4.47996	6  	14 	2  	762   	1.81321
INFO:gp:7  	762   	0.574744	7  	0.674198	0.392524	762   	0.0567055	4.72434	7  	13 	2  	762   	1.78247
INFO:gp:8  	783   	0.577755	8  	0.693092	0.393612	783   	0.0574368	5.0567 	8  	15 	2  	783   	1.84563
INFO:gp:9  	752   	0.584086	9  	0.693092	0.318819	752   	0.0605977	5.27664	9  	11 	1  	752   	1.75496
INFO:gp:10 	782   	0.585134	10 	0.698085	0.346572	782   	0.0621229	5.31867	10 	14 	1  	782   	1.67557
INFO:gp:11 	746   	0.592392	11 	0.698085	0.373612	746   	0.0664588	5.43109	11 	11 	1  	746   	1.60549
INFO:gp:12 	753   	0.606181	12 	0.700852	0.369962	753   	0.062175 	5.56109	12 	13 	2  	753   	1.60398
INFO:gp:13 	804   	0.609108	13 	0.700852	0.369518	804   	0.0629487	5.59824	13 	13 	2  	804   	1.53864
INFO:gp:14 	793   	0.616556	14 	0.707834	0.394673	793   	0.0634175	5.61877	14 	15 	2  	793   	1.51864
INFO:gp:15 	769   	0.624512	15 	0.708529	0.403425	769   	0.0622336	5.67155	15 	12 	2  	769   	1.52901
INFO:gp:16 	757   	0.628722	16 	0.707834	0.39884 	757   	0.0605842	5.84262	16 	13 	3  	757   	1.66373
INFO:gp:17 	765   	0.62867 	17 	0.721004	0.377951	765   	0.0628301	5.89541	17 	13 	3  	765   	1.68653
INFO:gp:18 	756   	0.634725	18 	0.721004	0.392196	756   	0.05882  	5.92864	18 	14 	3  	756   	1.73847
INFO:gp:19 	775   	0.62797 	19 	0.721004	0.375146	775   	0.0643036	6.10655	19 	16 	3  	775   	1.84475
INFO:gp:20 	765   	0.634316	20 	0.721004	0.401738	765   	0.0609386	6.1349 	20 	13 	3  	765   	1.85163
INFO:gp:21 	780   	0.633025	21 	0.721004	0.384984	780   	0.062168 	6.35582	21 	13 	3  	780   	1.84981
INFO:gp:22 	779   	0.63043 	22 	0.721004	0.398799	779   	0.0664437	6.64907	22 	17 	3  	779   	2.03369
INFO:gp:23 	794   	0.631744	23 	0.721004	0.383938	794   	0.0628576	6.69697	23 	16 	3  	794   	2.09968
INFO:gp:24 	799   	0.630541	24 	0.721004	0.414435	799   	0.0628963	6.79765	24 	16 	3  	799   	2.12859
INFO:gp:25 	780   	0.633241	25 	0.721004	0.398795	780   	0.0627755	6.8436 	25 	18 	3  	780   	2.20481
INFO:gp:26 	798   	0.632678	26 	0.721004	0.398463	798   	0.064632 	6.89443	26 	17 	3  	798   	2.19361
INFO:gp:27 	804   	0.630059	27 	0.721004	0.373565	804   	0.0651054	7.17009	27 	16 	3  	804   	2.32173
INFO:gp:28 	786   	0.63538 	28 	0.722097	0.397302	786   	0.0620336	7.30205	28 	15 	3  	786   	2.45978
INFO:gp:29 	761   	0.634294	29 	0.722097	0.397549	761   	0.0640534	7.19648	29 	16 	3  	761   	2.42008
INFO:gp:30 	757   	0.636555	30 	0.722097	0.37138 	757   	0.0647686	7.18768	30 	18 	3  	757   	2.42421
INFO:gp:31 	795   	0.634851	31 	0.721004	0.364107	795   	0.0625148	7.24731	31 	16 	3  	795   	2.35601
