INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                            fitness                             	                      size                     
   	      	----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min    	nevals	std     	avg    	gen	max	min	nevals	std    
0  	1023  	0.502013	0  	0.669058	0.37479	1023  	0.038947	3.49853	0  	7  	2  	1023  	1.32121
INFO:gp:1  	748   	0.535972	1  	0.669058	0.407578	748   	0.0425417	3.87781	1  	10 	2  	748   	1.51168
INFO:gp:2  	765   	0.559529	2  	0.700489	0.394072	765   	0.0487425	4.11241	2  	12 	2  	765   	1.63601
INFO:gp:3  	782   	0.580342	3  	0.700489	0.346874	782   	0.0579874	4.36657	3  	13 	2  	782   	1.87005
INFO:gp:4  	777   	0.596616	4  	0.713285	0.348914	777   	0.0615373	4.96188	4  	13 	2  	777   	2.06481
INFO:gp:5  	770   	0.602276	5  	0.713285	0.352904	770   	0.0681846	5.09482	5  	14 	2  	770   	2.14111
INFO:gp:6  	788   	0.611695	6  	0.71795 	0.370005	788   	0.070455 	4.92864	6  	16 	2  	788   	2.09496
INFO:gp:7  	769   	0.624161	7  	0.71999 	0.386434	769   	0.0691362	4.35191	7  	14 	2  	769   	1.82823
INFO:gp:8  	776   	0.634934	8  	0.71999 	0.393303	776   	0.0661885	3.95503	8  	11 	1  	776   	1.56137
INFO:gp:9  	760   	0.647975	9  	0.71999 	0.430747	760   	0.0615349	3.86315	9  	13 	3  	760   	1.58032
INFO:gp:10 	779   	0.651975	10 	0.722004	0.449266	779   	0.0625703	3.77713	10 	11 	3  	779   	1.48541
INFO:gp:11 	797   	0.655536	11 	0.726353	0.39251 	797   	0.0639053	4.04399	11 	10 	3  	797   	1.69613
INFO:gp:12 	780   	0.661555	12 	0.726353	0.437372	780   	0.060317 	4.30108	12 	12 	3  	780   	1.9052 
INFO:gp:13 	790   	0.662292	13 	0.735032	0.422446	790   	0.0661411	4.79374	13 	13 	3  	790   	2.13784
INFO:gp:14 	774   	0.664813	14 	0.735032	0.449082	774   	0.0627849	5.33724	14 	15 	3  	774   	2.32767
INFO:gp:15 	771   	0.666202	15 	0.735032	0.464022	771   	0.0635169	5.66471	15 	17 	3  	771   	2.45507
INFO:gp:16 	773   	0.665994	16 	0.735032	0.444828	773   	0.0657124	6.13294	16 	17 	3  	773   	2.59745
INFO:gp:17 	770   	0.670769	17 	0.735032	0.408436	770   	0.0630564	6.64223	17 	16 	3  	770   	2.57764
INFO:gp:18 	780   	0.670463	18 	0.735032	0.456299	780   	0.0624016	6.95992	18 	22 	3  	780   	2.56554
INFO:gp:19 	740   	0.676008	19 	0.737669	0.443014	740   	0.0613462	7.4262 	19 	20 	3  	740   	2.45391
INFO:gp:20 	753   	0.674444	20 	0.737669	0.449344	753   	0.0642156	7.87097	20 	19 	3  	753   	2.87283
INFO:gp:21 	745   	0.677904	21 	0.737669	0.407917	745   	0.0628207	8.08798	21 	19 	3  	745   	3.0605 
INFO:gp:22 	754   	0.673062	22 	0.737669	0.45664 	754   	0.0625773	7.88368	22 	19 	3  	754   	3.37305
INFO:gp:23 	757   	0.672892	23 	0.737669	0.449309	757   	0.0666946	7.50635	23 	20 	3  	757   	3.60294
INFO:gp:24 	773   	0.666557	24 	0.737669	0.436414	773   	0.0719187	6.53372	24 	20 	3  	773   	3.72812
INFO:gp:25 	756   	0.674025	25 	0.737669	0.443529	756   	0.0735727	5.48289	25 	18 	3  	756   	3.68949
INFO:gp:26 	776   	0.677325	26 	0.737669	0.403325	776   	0.0770605	4.62757	26 	17 	3  	776   	3.23941
INFO:gp:27 	787   	0.680228	27 	0.737669	0.442626	787   	0.0791693	4.29717	27 	17 	3  	787   	2.98606
INFO:gp:28 	783   	0.680069	28 	0.737669	0.399084	783   	0.0806775	4.16031	28 	17 	3  	783   	2.84492
INFO:gp:29 	762   	0.683035	29 	0.737669	0.440303	762   	0.0802127	4.10948	29 	17 	3  	762   	2.74632
INFO:gp:30 	782   	0.680912	30 	0.737669	0.461207	782   	0.0818558	4.13881	30 	17 	3  	782   	2.82398
INFO:gp:31 	774   	0.677106	31 	0.737669	0.440312	774   	0.0850906	4.08211	31 	17 	3  	774   	2.74834
INFO:gp:32 	761   	0.681669	32 	0.737669	0.438729	761   	0.081632 	4.09091	32 	17 	3  	761   	2.74575
INFO:gp:33 	770   	0.68104 	33 	0.737669	0.446887	770   	0.081141 	4.07038	33 	17 	3  	770   	2.72043
INFO:gp:34 	768   	0.680393	34 	0.737669	0.436119	768   	0.0830718	4.12023	34 	17 	3  	768   	2.77297
INFO:gp:35 	769   	0.679631	35 	0.75562 	0.444702	769   	0.0843292	3.95406	35 	17 	3  	769   	2.59725
INFO:gp:36 	802   	0.678873	36 	0.75562 	0.440027	802   	0.0835919	4.05376	36 	17 	3  	802   	2.63075
INFO:gp:37 	768   	0.679304	37 	0.75562 	0.427667	768   	0.0845766	4.08993	37 	17 	3  	768   	2.70796
INFO:gp:38 	781   	0.683534	38 	0.75562 	0.452538	781   	0.0818095	4.23851	38 	17 	3  	781   	2.704  
INFO:gp:39 	778   	0.686268	39 	0.75562 	0.441035	778   	0.0821841	4.36168	39 	17 	3  	778   	2.53001
INFO:gp:40 	785   	0.683683	40 	0.75562 	0.446237	785   	0.0842345	4.8172 	40 	17 	3  	785   	2.48609
INFO:gp:41 	767   	0.685775	41 	0.759325	0.448292	767   	0.0854951	5.19257	41 	17 	3  	767   	2.32313
INFO:gp:42 	737   	0.686681	42 	0.759325	0.455439	737   	0.0870891	5.39394	42 	17 	3  	737   	2.08055
INFO:gp:43 	755   	0.688592	43 	0.759325	0.442184	755   	0.0881461	5.40274	43 	15 	3  	755   	1.74976
INFO:gp:44 	784   	0.690512	44 	0.759694	0.449678	784   	0.0873435	5.31281	44 	15 	3  	784   	1.60092
INFO:gp:45 	741   	0.687565	45 	0.759694	0.447423	741   	0.0877434	5.44379	45 	15 	3  	741   	1.7588 
INFO:gp:46 	762   	0.689654	46 	0.759694	0.445721	762   	0.0861382	5.79668	46 	15 	3  	762   	1.92725
INFO:gp:47 	785   	0.688037	47 	0.759694	0.436816	785   	0.0908034	6.66178	47 	15 	3  	785   	2.37472
INFO:gp:48 	779   	0.691887	48 	0.759695	0.41338 	779   	0.0895511	7.80547	48 	20 	3  	779   	2.78073
INFO:gp:49 	763   	0.695542	49 	0.759697	0.414725	763   	0.0900911	8.63441	49 	20 	3  	763   	2.89997
INFO:gp:50 	776   	0.692553	50 	0.760117	0.431081	776   	0.0917878	9.32063	50 	22 	3  	776   	3.15839
INFO:gp:51 	770   	0.700972	51 	0.760117	0.435558	770   	0.0877891	10.436 	51 	23 	3  	770   	3.41115
INFO:gp:52 	786   	0.696215	52 	0.760117	0.443291	786   	0.0914167	11.7918	52 	24 	3  	786   	3.50152
INFO:gp:53 	760   	0.694352	53 	0.760117	0.431087	760   	0.0938816	12.5132	53 	27 	3  	760   	3.39305
INFO:gp:54 	744   	0.694168	54 	0.760117	0.431087	744   	0.0958344	12.3402	54 	29 	3  	744   	3.42403
INFO:gp:55 	790   	0.694061	55 	0.763018	0.454244	790   	0.0943546	12.2678	55 	35 	3  	790   	3.81444
INFO:gp:56 	762   	0.693897	56 	0.763018	0.431094	762   	0.0943686	12.0176	56 	26 	3  	762   	3.9374 
INFO:gp:57 	786   	0.690281	57 	0.763018	0.406762	786   	0.0948343	11.5122	57 	27 	3  	786   	4.2065 
INFO:gp:58 	772   	0.69503 	58 	0.763025	0.443279	772   	0.0925492	10.9453	58 	28 	3  	772   	3.96797
INFO:gp:59 	781   	0.689939	59 	0.764825	0.443104	781   	0.092654 	10.8328	59 	29 	3  	781   	3.77526
INFO:gp:60 	748   	0.688064	60 	0.764825	0.414112	748   	0.0960579	11.6139	60 	23 	3  	748   	3.47741
INFO:gp:61 	803   	0.690695	61 	0.765412	0.43405 	803   	0.0960168	11.8446	61 	24 	3  	803   	3.4956 
INFO:gp:62 	759   	0.693356	62 	0.770871	0.445941	759   	0.0947019	12.1339	62 	26 	3  	759   	3.53293
INFO:gp:63 	766   	0.69834 	63 	0.770871	0.434792	766   	0.0928515	12.5503	63 	24 	3  	766   	3.68787
INFO:gp:64 	774   	0.705159	64 	0.770871	0.435727	774   	0.0881904	13.4516	64 	27 	3  	774   	4.02599
INFO:gp:65 	771   	0.703187	65 	0.770916	0.458997	771   	0.0900509	14.2962	65 	30 	3  	771   	4.1274 
INFO:gp:66 	779   	0.699323	66 	0.770916	0.449232	779   	0.0928171	14.4848	66 	27 	3  	779   	3.96607
INFO:gp:67 	795   	0.699571	67 	0.770916	0.467583	795   	0.0942174	15.1369	67 	30 	3  	795   	4.41393
INFO:gp:68 	789   	0.700062	68 	0.770918	0.443153	789   	0.0945494	17.0215	68 	32 	3  	789   	5.00904
INFO:gp:69 	785   	0.70453 	69 	0.770922	0.470354	785   	0.0908075	19.0987	69 	45 	3  	785   	4.98689
INFO:gp:70 	789   	0.702702	70 	0.771022	0.449093	789   	0.0955028	20.738 	70 	35 	3  	789   	4.76934
INFO:gp:71 	786   	0.70963 	71 	0.771022	0.44086 	786   	0.0917799	22.2111	71 	43 	3  	786   	4.41764
