INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg   	gen	max	min	nevals	std    
0  	1023  	0.500387	0  	0.618666	0.382667	1023  	0.0368043	3.5044	0  	7  	2  	1023  	1.33811
INFO:gp:1  	783   	0.531468	1  	0.653159	0.389319	783   	0.0380146	3.7957	1  	13 	2  	783   	1.59982
INFO:gp:2  	792   	0.549564	2  	0.665093	0.407105	792   	0.0425259	4.05572	2  	9  	1  	792   	1.56883
INFO:gp:3  	762   	0.566176	3  	0.709573	0.393546	762   	0.0494103	4.22678	3  	13 	1  	762   	1.60503
INFO:gp:4  	779   	0.585311	4  	0.709573	0.412592	779   	0.0557032	4.83578	4  	12 	1  	779   	1.83066
INFO:gp:5  	768   	0.604688	5  	0.709618	0.375794	768   	0.0605046	5.49658	5  	12 	1  	768   	2.0696 
INFO:gp:6  	785   	0.624142	6  	0.717092	0.436257	785   	0.0613799	5.85239	6  	14 	2  	785   	2.30362
INFO:gp:7  	791   	0.64313 	7  	0.717986	0.422468	791   	0.0611794	6.92571	7  	18 	3  	791   	2.55427
INFO:gp:8  	778   	0.658805	8  	0.726854	0.41797 	778   	0.06241  	7.94917	8  	21 	3  	778   	2.4862 
INFO:gp:9  	759   	0.664435	9  	0.726854	0.416533	759   	0.0605408	8.22972	9  	19 	3  	759   	2.54712
INFO:gp:10 	785   	0.669014	10 	0.72686 	0.451919	785   	0.0608018	8.2913 	10 	20 	3  	785   	2.82621
INFO:gp:11 	755   	0.669869	11 	0.73054 	0.434287	755   	0.0604118	8.54839	11 	21 	3  	755   	3.05175
INFO:gp:12 	775   	0.676842	12 	0.737281	0.47091 	775   	0.0577904	9.29326	12 	21 	3  	775   	3.59456
INFO:gp:13 	785   	0.679839	13 	0.73864 	0.399124	785   	0.059327 	10.74  	13 	26 	3  	785   	4.06891
INFO:gp:14 	781   	0.682989	14 	0.742653	0.460554	781   	0.0563209	12.2082	14 	29 	3  	781   	4.08232
INFO:gp:15 	776   	0.687303	15 	0.742653	0.455481	776   	0.0561623	13.3314	15 	31 	3  	776   	4.42099
INFO:gp:16 	783   	0.692051	16 	0.743688	0.466079	783   	0.0545851	13.8817	16 	27 	3  	783   	4.24203
INFO:gp:17 	759   	0.691118	17 	0.743688	0.415921	759   	0.0589368	13.4438	17 	25 	3  	759   	4.31104
INFO:gp:18 	767   	0.696618	18 	0.743688	0.446624	767   	0.056129 	13.0694	18 	25 	3  	767   	4.13767
INFO:gp:19 	764   	0.697415	19 	0.747809	0.47091 	764   	0.0566448	13.1281	19 	32 	3  	764   	4.21887
INFO:gp:20 	759   	0.69505 	20 	0.747809	0.467923	759   	0.0615428	13.2454	20 	28 	3  	759   	4.08169
INFO:gp:21 	757   	0.698278	21 	0.751196	0.463728	757   	0.060012 	13.9022	21 	29 	3  	757   	3.71231
INFO:gp:22 	775   	0.699829	22 	0.751196	0.419883	775   	0.0595233	14.3284	22 	30 	3  	775   	3.6797 
INFO:gp:23 	774   	0.701641	23 	0.751196	0.461256	774   	0.0576211	14.6667	23 	27 	3  	774   	3.33636
INFO:gp:24 	763   	0.703719	24 	0.751196	0.47719 	763   	0.055792 	14.999 	24 	30 	3  	763   	3.37911
INFO:gp:25 	766   	0.703743	25 	0.751196	0.455397	766   	0.0594258	15.2581	25 	31 	3  	766   	3.56642
INFO:gp:26 	785   	0.707335	26 	0.754832	0.480254	785   	0.0556264	15.651 	26 	32 	3  	785   	3.35376
INFO:gp:27 	783   	0.705683	27 	0.754832	0.483751	783   	0.0587366	15.3851	27 	31 	3  	783   	3.59323
INFO:gp:28 	748   	0.707085	28 	0.757443	0.435329	748   	0.0589476	15.5601	28 	31 	3  	748   	3.58558
INFO:gp:29 	769   	0.708442	29 	0.757443	0.417108	769   	0.0579022	15.6452	29 	31 	3  	769   	3.63676
