INFO:data:Reading dataset fish: oil
INFO:data:Class Counts: [108 126], Class Ratios: [0.46153846 0.53846154]
INFO:data:Number of features: 1023
INFO:data:Number of instances: 234
INFO:data:Number of classes 2.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                                 fitness                                 	                      size                     
   	      	-------------------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg     	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	1023  	0.503216	0  	0.634969	0.378217	1023  	0.0369283	3.56403	0  	7  	2  	1023  	1.37338
INFO:gp:1  	772   	0.533264	1  	0.664508	0.373253	772   	0.039474 	3.58651	1  	10 	2  	772   	1.42937
INFO:gp:2  	808   	0.5478  	2  	0.676354	0.345633	808   	0.0485507	3.71065	2  	11 	2  	808   	1.5426 
INFO:gp:3  	763   	0.569719	3  	0.684078	0.383958	763   	0.0531923	3.8172 	3  	11 	2  	763   	1.65701
INFO:gp:4  	792   	0.582128	4  	0.686749	0.398691	792   	0.0597311	3.94428	4  	12 	2  	792   	1.71926
INFO:gp:5  	786   	0.600634	5  	0.713263	0.378574	786   	0.0632008	4.75953	5  	11 	2  	786   	2.05421
INFO:gp:6  	772   	0.621474	6  	0.713263	0.351516	772   	0.0663949	5.81623	6  	13 	2  	772   	2.07895
INFO:gp:7  	779   	0.634429	7  	0.718343	0.400819	779   	0.0619727	6.24145	7  	16 	2  	779   	2.10927
INFO:gp:8  	743   	0.637896	8  	0.718343	0.378574	743   	0.0652844	6.18084	8  	14 	2  	743   	2.4414 
INFO:gp:9  	752   	0.643772	9  	0.729208	0.400819	752   	0.0634536	5.73705	9  	14 	2  	752   	2.63562
INFO:gp:10 	759   	0.648339	10 	0.729208	0.459793	759   	0.064484 	5.31183	10 	16 	2  	759   	2.62917
INFO:gp:11 	792   	0.650507	11 	0.732527	0.422591	792   	0.0668627	4.90616	11 	14 	3  	792   	2.42603
INFO:gp:12 	774   	0.658082	12 	0.737942	0.446752	774   	0.0672618	4.76344	12 	14 	3  	774   	2.21978
INFO:gp:13 	807   	0.659549	13 	0.737942	0.476999	807   	0.0670476	4.75855	13 	14 	3  	807   	2.08597
INFO:gp:14 	745   	0.66478 	14 	0.738738	0.385404	745   	0.0688014	5.21408	14 	15 	3  	745   	2.23018
INFO:gp:15 	760   	0.662521	15 	0.740402	0.456098	760   	0.0720132	5.6608 	15 	15 	3  	760   	2.25659
INFO:gp:16 	780   	0.663941	16 	0.748937	0.456801	780   	0.0739302	6.13783	16 	15 	3  	780   	2.1907 
INFO:gp:17 	750   	0.670586	17 	0.748937	0.454611	750   	0.0723922	7.03324	17 	20 	3  	750   	2.65899
INFO:gp:18 	752   	0.667513	18 	0.748937	0.33219 	752   	0.0795761	7.94135	18 	23 	3  	752   	3.08569
INFO:gp:19 	787   	0.668709	19 	0.752698	0.429436	787   	0.079439 	8.80743	19 	26 	3  	787   	3.49543
INFO:gp:20 	784   	0.670136	20 	0.752698	0.384915	784   	0.0805558	9.88074	20 	26 	3  	784   	4.13854
INFO:gp:21 	770   	0.6755  	21 	0.757327	0.440578	770   	0.0796728	11.3314	21 	27 	3  	770   	4.71439
INFO:gp:22 	791   	0.680353	22 	0.759668	0.461398	791   	0.0809706	12.1525	22 	32 	3  	791   	4.84624
INFO:gp:23 	781   	0.683699	23 	0.767107	0.416307	781   	0.0800981	13.0538	23 	31 	3  	781   	4.90437
INFO:gp:24 	780   	0.685343	24 	0.767107	0.451573	780   	0.0811516	14.2326	24 	31 	3  	780   	5.00465
INFO:gp:25 	783   	0.692839	25 	0.767846	0.407095	783   	0.0800986	15.6774	25 	35 	3  	783   	4.82697
INFO:gp:26 	775   	0.701479	26 	0.778712	0.444074	775   	0.0760302	16.4066	26 	34 	3  	775   	5.12167
INFO:gp:27 	770   	0.696539	27 	0.778712	0.458009	770   	0.0805323	17.1525	27 	37 	3  	770   	4.81142
INFO:gp:28 	790   	0.696976	28 	0.778712	0.461099	790   	0.0812221	17.1935	28 	35 	3  	790   	5.21106
INFO:gp:29 	752   	0.697123	29 	0.778712	0.42685 	752   	0.084117 	16.4976	29 	35 	3  	752   	5.13453
INFO:gp:30 	779   	0.698521	30 	0.778712	0.457059	779   	0.0838752	15.6921	30 	35 	3  	779   	5.11376
INFO:gp:31 	781   	0.695877	31 	0.778712	0.434101	781   	0.0837721	15.4741	31 	32 	3  	781   	4.51402
INFO:gp:32 	779   	0.702874	32 	0.778712	0.444809	779   	0.0830717	15.7517	32 	29 	3  	779   	4.33551
INFO:gp:33 	764   	0.702108	33 	0.778712	0.463769	764   	0.0845757	15.8974	33 	29 	3  	764   	4.28166
INFO:gp:34 	815   	0.694845	34 	0.778712	0.378715	815   	0.0865788	15.3157	34 	33 	3  	815   	4.30928
INFO:gp:35 	787   	0.693996	35 	0.778712	0.354935	787   	0.0885576	14.9677	35 	29 	3  	787   	4.20072
INFO:gp:36 	792   	0.692052	36 	0.778712	0.445493	792   	0.0892581	14.6149	36 	32 	3  	792   	3.94863
INFO:gp:37 	782   	0.696111	37 	0.778712	0.473019	782   	0.0927026	14.3705	37 	29 	3  	782   	3.7352 
INFO:gp:38 	767   	0.692218	38 	0.778712	0.396135	767   	0.091373 	14.0674	38 	29 	3  	767   	3.65099
INFO:gp:39 	758   	0.700863	39 	0.778712	0.486452	758   	0.087729 	13.9599	39 	29 	3  	758   	3.5636 
INFO:gp:40 	776   	0.69382 	40 	0.778712	0.35458 	776   	0.0928594	13.9394	40 	29 	3  	776   	3.28363
INFO:gp:41 	765   	0.691031	41 	0.778712	0.275106	765   	0.095682 	13.9658	41 	29 	3  	765   	3.47365
INFO:gp:42 	779   	0.693493	42 	0.778712	0.414875	779   	0.0924705	14.0117	42 	29 	3  	779   	3.71674
INFO:gp:43 	777   	0.701355	43 	0.778712	0.478565	777   	0.0888698	13.9795	43 	32 	3  	777   	3.69573
INFO:gp:44 	775   	0.698209	44 	0.778712	0.454634	775   	0.0897474	13.9902	44 	29 	3  	775   	3.42863
INFO:gp:45 	765   	0.699728	45 	0.778712	0.440612	765   	0.0904193	14.0694	45 	32 	3  	765   	3.56809
INFO:gp:46 	757   	0.701687	46 	0.778712	0.480668	757   	0.0890273	14     	46 	32 	3  	757   	3.49444
INFO:gp:47 	779   	0.700019	47 	0.778712	0.402993	779   	0.0903177	13.9892	47 	33 	3  	779   	3.62635
INFO:gp:48 	768   	0.69964 	48 	0.778712	0.349422	768   	0.0929815	14.0694	48 	33 	3  	768   	3.61166
INFO:gp:49 	750   	0.701465	49 	0.778713	0.460604	750   	0.0905404	13.9902	49 	33 	3  	750   	3.71227
INFO:gp:50 	778   	0.700593	50 	0.778713	0.449637	778   	0.0896488	13.912 	50 	33 	3  	778   	3.5137 
INFO:gp:51 	774   	0.700016	51 	0.778713	0.467622	774   	0.0897619	14.0342	51 	33 	3  	774   	3.60322
INFO:gp:52 	790   	0.695202	52 	0.778714	0.434034	790   	0.0918268	14.2434	52 	33 	3  	790   	3.57771
INFO:gp:53 	767   	0.699469	53 	0.778714	0.479872	767   	0.0903572	14.6696	53 	33 	3  	767   	3.7812 
INFO:gp:54 	764   	0.701106	54 	0.778726	0.417155	764   	0.0895569	15.2708	54 	33 	3  	764   	3.79895
INFO:gp:55 	788   	0.696591	55 	0.778726	0.464052	788   	0.0925477	16.2219	55 	33 	3  	788   	4.1195 
INFO:gp:56 	773   	0.703316	56 	0.778726	0.443889	773   	0.088789 	17.2151	56 	33 	3  	773   	3.6309 
