INFO:data:Reading dataset fish: part
INFO:data:Class Counts: [6 6 3 6 6 3], Class Ratios: [0.2 0.2 0.1 0.2 0.2 0.1]
INFO:data:Number of features: 1023
Number of instances: 30
Number of classes 6.
INFO:__main__:No model found. Train from scratch.
INFO:gp:   	      	                             fitness                             	                      size                     
   	      	-----------------------------------------------------------------	-----------------------------------------------
gen	nevals	avg    	gen	max     	min     	nevals	std      	avg    	gen	max	min	nevals	std    
0  	3069  	0.23575	0  	0.549412	0.102341	3069  	0.0768637	5.72076	0  	7  	3  	3069  	1.58002
INFO:gp:1  	2311  	0.333171	1  	0.570467	0.103995	2311  	0.0683203	5.94363	1  	13 	3  	2311  	1.63372
INFO:gp:2  	2376  	0.393779	2  	0.631432	0.106371	2376  	0.0681348	5.97784	2  	13 	3  	2376  	1.64398
INFO:gp:3  	2348  	0.444478	3  	0.683751	0.126934	2348  	0.0728875	6.15966	3  	14 	3  	2348  	1.71245
INFO:gp:4  	2310  	0.491821	4  	0.734634	0.155152	2310  	0.0740968	6.51352	4  	13 	3  	2310  	1.49646
INFO:gp:5  	2341  	0.532705	5  	0.739126	0.16158 	2341  	0.0778066	6.82274	5  	15 	3  	2341  	1.36564
INFO:gp:6  	2315  	0.572231	6  	0.739623	0.217367	2315  	0.0790339	7.11111	6  	15 	3  	2315  	1.33396
INFO:gp:7  	2301  	0.606972	7  	0.759992	0.223132	2301  	0.0789207	7.21245	7  	15 	3  	2301  	1.2725 
INFO:gp:8  	2298  	0.643013	8  	0.769779	0.2549  	2298  	0.0783098	7.27892	8  	13 	3  	2298  	1.21751
INFO:gp:9  	2297  	0.66811 	9  	0.797654	0.295664	2297  	0.0782275	7.32258	9  	14 	3  	2297  	1.114  
INFO:gp:10 	2330  	0.686413	10 	0.797769	0.305451	2330  	0.0783102	7.3783 	10 	15 	4  	2330  	1.113  
INFO:gp:11 	2375  	0.697816	11 	0.80765 	0.282579	2375  	0.0804871	7.46856	11 	15 	4  	2375  	1.19495
INFO:gp:12 	2335  	0.708511	12 	0.808332	0.277464	2335  	0.0806662	7.55914	12 	15 	5  	2335  	1.28334
INFO:gp:13 	2369  	0.713722	13 	0.830269	0.298148	2369  	0.0850612	7.58651	13 	17 	4  	2369  	1.33386
INFO:gp:14 	2266  	0.726631	14 	0.831957	0.357253	2266  	0.082781 	7.71652	14 	17 	4  	2266  	1.39955
INFO:gp:15 	2324  	0.732391	15 	0.831991	0.257981	2324  	0.0852105	7.95797	15 	18 	5  	2324  	1.64151
INFO:gp:16 	2389  	0.739259	16 	0.854241	0.220302	2389  	0.0867732	8.29456	16 	19 	5  	2389  	1.78127
INFO:gp:17 	2332  	0.75072 	17 	0.854241	0.326747	2332  	0.0907321	8.35907	17 	19 	5  	2332  	1.81054
INFO:gp:18 	2296  	0.768048	18 	0.854241	0.354911	2296  	0.0869186	8.54317	18 	20 	5  	2296  	2.1396 
INFO:gp:19 	2348  	0.770866	19 	0.865022	0.270792	2348  	0.0905846	9.3682 	19 	20 	5  	2348  	2.62504
INFO:gp:20 	2309  	0.777765	20 	0.887311	0.335347	2309  	0.0857659	10.6077	20 	20 	4  	2309  	2.70305
INFO:gp:21 	2371  	0.780952	21 	0.8875  	0.267904	2371  	0.0887712	11.4047	21 	23 	5  	2371  	2.43945
INFO:gp:22 	2292  	0.790645	22 	0.887529	0.349516	2292  	0.0899673	11.782 	22 	23 	5  	2292  	2.17162
INFO:gp:23 	2291  	0.798475	23 	0.888324	0.241308	2291  	0.0908158	12.3359	23 	25 	5  	2291  	2.06151
INFO:gp:24 	2337  	0.803392	24 	0.88849 	0.299536	2337  	0.0929285	12.6175	24 	27 	5  	2337  	2.44436
INFO:gp:25 	2276  	0.81372 	25 	0.88849 	0.381894	2276  	0.0947214	12.551 	25 	31 	5  	2276  	2.42457
INFO:gp:26 	2294  	0.822717	26 	0.888579	0.345599	2294  	0.0909389	12.3503	26 	27 	6  	2294  	1.99007
INFO:gp:27 	2317  	0.823117	27 	0.889335	0.277111	2317  	0.0946484	12.2346	27 	22 	5  	2317  	1.80321
INFO:gp:28 	2332  	0.825031	28 	0.889336	0.266247	2332  	0.0906006	12.1786	28 	25 	6  	2332  	1.89563
INFO:gp:29 	2294  	0.823784	29 	0.890121	0.358517	2294  	0.091536 	12.0567	29 	23 	6  	2294  	1.93509
INFO:gp:30 	2281  	0.82229 	30 	0.890121	0.360317	2281  	0.0940733	11.9241	30 	27 	6  	2281  	1.83156
INFO:gp:31 	2306  	0.823677	31 	0.890456	0.368574	2306  	0.0932945	11.8716	31 	22 	6  	2306  	1.79582
INFO:gp:32 	2337  	0.818402	32 	0.890456	0.294831	2337  	0.100447 	11.8087	32 	22 	6  	2337  	1.87563
INFO:gp:33 	2315  	0.825846	33 	0.89046 	0.308325	2315  	0.0943555	11.928 	33 	25 	6  	2315  	1.88916
INFO:gp:34 	2298  	0.82548 	34 	0.89046 	0.318037	2298  	0.0922145	11.885 	34 	25 	6  	2298  	1.74138
INFO:gp:35 	2316  	0.822591	35 	0.890611	0.370296	2316  	0.0987243	11.5849	35 	27 	7  	2316  	1.70648
INFO:gp:36 	2327  	0.821886	36 	0.890749	0.271803	2327  	0.0982887	11.3962	36 	25 	7  	2327  	1.52359
INFO:gp:37 	2283  	0.825435	37 	0.890945	0.337668	2283  	0.0956497	11.3884	37 	25 	7  	2283  	1.5642 
